price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,age
4800,13,1264,3,3,2,195000.0,0,0,1,2,9,9,14.0
4500,6,5434,0,5,2,145000.0,5,0,1,2,9,10,8.0
21595,6,8030,0,6,2,92634.0,0,0,0,1,10,0,5.0
3500,37,9778,2,5,2,253000.0,0,0,1,2,0,0,10.0
3975,14,5105,2,5,2,153000.0,0,0,2,2,0,5,8.0
6500,6,8818,2,6,2,236000.0,0,0,2,1,0,0,10.0
8500,13,5523,0,3,3,107550.0,0,0,1,2,4,2,7.0
2200,21,9079,2,6,2,180000.0,0,0,2,1,9,0,22.0
38250,35,9339,3,6,2,16624.0,0,0,0,1,10,5,2.0
3200,8,3012,0,6,2,136987.0,0,0,0,2,0,9,20.0
7900,37,7568,3,4,2,114250.0,0,0,0,1,9,9,13.0
10999,10,3271,2,5,2,98193.0,0,0,0,1,0,1,10.0
2900,27,6099,2,5,2,170000.0,0,0,1,1,9,4,20.0
2700,6,3446,2,5,2,150352.0,0,0,1,0,0,9,15.0
6999,14,9290,2,3,2,163943.0,0,0,0,1,0,0,9.0
3990,37,7568,0,4,2,119000.0,0,0,1,2,9,0,13.0
9950,6,8192,3,6,2,179000.0,0,0,0,1,8,5,9.0
9500,10,4009,2,6,2,189490.0,0,0,0,1,10,10,11.0
4900,27,7743,2,3,2,116000.0,4,0,1,2,9,9,9.0
7999,3,587,0,5,2,80000.0,0,0,0,1,9,5,9.0
4399,28,5076,0,3,2,93000.0,0,0,1,2,9,1,11.0
4500,27,1374,0,5,2,140000.0,0,0,2,1,9,9,7.0
8700,10,3120,0,6,2,170000.0,0,1,2,1,11,10,9.0
4120,10,2669,2,6,2,133297.0,0,0,2,1,9,1,9.0
6000,20,7428,2,2,2,132200.0,0,0,0,2,0,10,17.0
5249,10,4311,0,6,2,159292.0,0,0,0,1,8,3,17.0
9999,6,2706,3,3,2,323132.0,0,0,1,2,9,10,3.0
19500,10,4181,0,6,2,116000.0,0,0,0,1,10,5,6.0
8249,6,2706,3,3,2,31985.0,0,0,1,2,9,10,6.0
8749,17,6789,3,3,2,41771.0,0,0,0,2,0,1,4.0
13995,6,8030,0,6,2,151442.0,0,0,0,1,10,9,10.0
11995,6,8605,0,6,2,158487.0,0,0,0,1,0,5,8.0
8995,6,8030,0,6,2,119726.0,0,0,0,1,10,5,19.0
5444,6,2704,2,3,2,115843.0,0,0,1,0,9,5,7.0
15995,17,9599,0,5,2,138806.0,0,0,0,1,0,0,7.0
8450,10,4973,2,5,2,64572.0,0,0,1,2,9,0,9.0
11995,20,7437,0,5,2,102378.0,0,0,0,1,0,3,12.0
10500,35,7829,2,5,2,173000.0,0,0,1,2,5,9,9.0
28250,6,8030,0,6,2,13808.0,0,0,0,1,10,10,3.0
6995,10,3641,0,6,2,92546.0,0,0,0,1,0,1,16.0
13900,8,5203,0,5,2,62711.0,0,0,1,1,11,0,4.0
28975,6,8030,0,6,2,8354.0,0,0,0,1,10,0,3.0
14995,17,9599,0,5,2,118371.0,0,0,0,1,0,6,9.0
19975,10,3061,0,6,2,53690.0,0,0,2,1,11,10,9.0
21975,10,3061,0,6,2,33937.0,0,0,2,1,11,10,9.0
5990,4,5752,0,5,2,57000.0,4,0,1,1,9,9,14.0
12990,10,3641,2,6,2,124775.0,0,0,0,1,0,3,9.0
23900,10,3296,0,5,2,59000.0,0,0,0,2,0,8,4.0
4990,10,4969,0,3,2,93000.0,4,0,1,2,9,0,11.0
11000,20,5410,2,3,3,77700.0,0,0,1,2,9,0,9.0
18975,6,8030,0,6,2,24390.0,0,0,2,1,10,10,8.0
3850,6,5360,0,3,2,107000.0,0,0,1,2,12,3,14.0
4250,10,3287,0,5,2,150000.0,0,0,0,2,0,5,13.0
5990,13,1322,0,3,2,115000.0,4,0,1,2,9,5,10.0
2800,26,3218,0,3,2,161196.0,0,0,1,2,3,9,12.0
4000,13,2726,2,3,2,212000.0,0,0,1,1,0,9,12.0
6995,35,5382,0,5,2,186895.0,0,0,0,1,0,1,16.0
5500,33,4812,0,3,2,111000.0,0,0,0,2,0,9,15.0
3995,0,9007,2,5,2,180000.0,0,0,1,1,9,0,21.0
2995,35,2067,2,3,2,210000.0,0,0,1,2,9,8,21.0
2500,35,2035,2,5,2,150000.0,0,0,2,1,9,9,8.0
3995,27,6102,2,5,2,146565.0,0,0,1,1,9,9,15.0
2795,28,5271,2,5,2,176109.0,0,0,1,1,9,8,17.0
6495,10,4537,2,6,2,116260.0,0,0,2,1,10,8,27.0
4850,21,9087,0,6,2,105000.0,0,0,2,1,9,9,15.0
2995,37,7596,2,5,2,102000.0,0,0,1,1,9,2,19.0
3995,10,7132,2,5,2,102000.0,0,0,1,2,10,2,19.0
